COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
CIS_290_02,Intro to Networks,UG,25,0,Open,Mr P Capelli,01:25PM,02:45PM,M W,IHK,203,,$115,3.00,0.00,,02,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_290_1E,Intro to Networks,UG,24,0,Open,Dr S Tweneboah Koduah,04:30PM,05:50PM,T TH,IHK,205,,$115,3.00,0.00,,1E,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_326_01,Frml Meth Sftw Dev,UG,25,0,Open,Dr J Tong,10:10AM,11:05AM,M W F,Z,335,,,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_350_01,Rqmts & Project Mgmt,UG,25,0,Open,Ms M Obaid,01:30PM,02:50PM,T TH,Z,355,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_355_1E,Web Progm/Implemnt,UG,25,0,Open,Mr N Carlin,06:00PM,07:20PM,M W,Z,339,"CIS_355_1E,GCIS_555_0A",$70,3.00,0.00,,1E,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_387_01,System & Network Secur,UG,24,0,Open,Dr R Bazan-Antequera,01:25PM,02:45PM,M W,IHK,205,,$115,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,
CIS_400_01,Internship,UG,5,0,Open,Dr M Tang,,,,BY-,ARR,,,1.00,3.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_457_01,Senior Design 1,UG,20,0,Open,Dr M Tang,12:00PM,01:20PM,T TH,Z,335,,,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,
CSC_220_01,Data Struct & Algorithms,UG,25,0,Open,Dr K Wang,03:00PM,04:20PM,T TH,IHK,205,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CSC_220_02,Data Struct & Algorithms,UG,25,0,Open,Dr K Wang,09:30AM,10:50AM,T TH,IHK,205,,$70,3.00,0.00,,02,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CSC_330_01,Operating Systems,UG,25,0,Open,Dr S Manakkadu,01:30PM,02:50PM,T TH,Z,339,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CSC_360_01,Comparative Language,UG,25,0,Open,Staff,12:20PM,01:15PM,M W F,Z,339,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
